Protein,CRC01-N,CRC01-T
EPM2A,68.0,82.0
EPM2AIP1,56.0,65.0
EPN1,19.0,24.0
EPN2,51.0,51.0
EPN3,49.0,52.0
EPO,5.0,11.0
EPOP,43.0,43.0
EPOR,18.0,22.0
EPPIN,20.0,25.0
EPPK1,292.0,302.0
EPRS1,183.0,195.0
EPS15,79.0,86.0
EPS15L1,93.0,100.0
EPS8,92.0,94.0
EPS8L1,89.0,81.0
EPS8L2,88.0,84.0
EPS8L3,85.0,84.0
EPSTI1,34.0,34.0
EPX,88.0,89.0
EPYC,18.0,14.0
EQTN,21.0,24.0
ERAL1,44.0,40.0
ERAP1,74.0,84.0
ERAP2,100.0,97.0
ERAS,16.0,14.0
ERBB2,82.0,75.0
ERBB3,92.0,86.0
ERBB4,97.0,118.0
ERBIN,169.0,176.0
ERC1,119.0,129.0
ERC2,110.0,114.0
ERC2-IT1,6.0,9.0
ERCC1,36.0,35.0
ERCC2,62.0,62.0
ERCC3,92.0,98.0
ERCC4,85.0,96.0
ERCC5,102.0,107.0
ERCC6,140.0,164.0
ERCC6L,158.0,161.0
ERCC6L2,202.0,205.0
ERCC6L2-AS1,4.0,6.0
ERCC8,41.0,44.0
EREG,7.0,9.0
ERF,43.0,40.0
ERFE,29.0,24.0
ERFL,16.0,14.0
ERG,51.0,46.0
ERG28,17.0,15.0
ERGIC1,31.0,31.0
ERGIC2,34.0,40.0
ERGIC3,21.0,27.0
ERH,13.0,12.0
ERI1,41.0,33.0
ERI2,76.0,70.0
ERI3,30.0,39.0
ERICH1,41.0,42.0
ERICH2,14.0,11.0
ERICH3,185.0,206.0
ERICH4,5.0,7.0
ERICH5,88.0,78.0
ERICH6,60.0,65.0
ERICH6B,122.0,121.0
ERLEC1,63.0,67.0
ERLIN1,27.0,25.0
ERLIN2,17.0,20.0
ERMAP,39.0,39.0
ERMARD,66.0,63.0
ERMN,49.0,46.0
ERMP1,96.0,91.0
ERN1,72.0,72.0
ERN2,70.0,73.0
ERO1A,44.0,50.0
ERO1B,77.0,86.0
ERP27,6.0,4.0
ERP29,34.0,32.0
ERP44,40.0,40.0
ERRFI1,34.0,34.0
ERV3-1,44.0,41.0
ERVFC1,47.0,52.0
ERVFC1-1,20.0,22.0
ERVFRD-1,44.0,49.0
ERVH48-1,10.0,9.0
ERVK-10,64.0,64.0
ERVK-11,3.0,4.0
ERVK-16,11.0,12.0
ERVK-18,63.0,78.0
ERVK-19,37.0,37.0
ERVK-21,13.0,14.0
ERVK-24,15.0,15.0
ERVK-25,4.0,5.0
ERVK-5,62.0,60.0
ERVK-6,126.0,126.0
ERVK-7,27.0,24.0
ERVK-8,18.0,22.0
ERVK-9,101.0,106.0
ERVK11-1,22.0,29.0
ERVK13-1,62.0,55.0
ERVMER34-1,56.0,49.0
ERVPABLB-1,36.0,36.0
ERVS71-1,25.0,25.0
ERVV-1,35.0,36.0
ERVV-2,25.0,23.0
ERVW-1,23.0,23.0
ESAM,16.0,18.0
ESCO1,142.0,135.0
ESCO2,74.0,68.0
ESD,23.0,17.0
ESF1,64.0,72.0
ESM1,30.0,30.0
ESPL1,194.0,203.0
ESPN,70.0,71.0
ESPNL,90.0,101.0
ESR1,52.0,57.0
ESR2,54.0,57.0
ESRG,14.0,16.0
ESRP1,62.0,64.0
ESRP2,50.0,55.0
ESRRA,40.0,34.0
ESRRB,34.0,34.0
ESRRG,33.0,33.0
ESS2,52.0,51.0
ESX1,19.0,18.0
ESYT1,77.0,78.0
ESYT2,96.0,104.0
ESYT3,60.0,77.0
ETAA1,116.0,110.0
ETDB,4.0,3.0
ETDC,13.0,11.0
ETF1,55.0,60.0
ETFA,29.0,28.0
ETFB,45.0,47.0
ETFBKMT,15.0,16.0
ETFDH,97.0,88.0
ETFRF1,13.0,13.0
ETHE1,37.0,36.0
ETNK1,29.0,33.0
ETNK2,37.0,38.0
ETNPPL,51.0,64.0
ETS1,34.0,24.0
ETS2,20.0,14.0
ETV1,46.0,40.0
ETV2,16.0,18.0
ETV3,47.0,43.0
ETV3L,29.0,20.0
ETV4,26.0,24.0
ETV5,38.0,30.0
ETV6,44.0,46.0
ETV7,26.0,33.0
EURL,44.0,42.0
EVA1A,9.0,10.0
EVA1B,6.0,4.0
EVA1C,61.0,62.0
EVC,108.0,116.0
EVC2,181.0,187.0
EVI2A,7.0,6.0
EVI2B,32.0,32.0
EVI5,80.0,84.0
EVI5L,81.0,91.0
EVL,57.0,62.0
EVPL,320.0,309.0
EVPLL,33.0,29.0
EVX1,14.0,10.0
EVX2,28.0,26.0
EWSR1,27.0,27.0
EXD1,44.0,48.0
EXD2,82.0,86.0
EXD3,111.0,113.0
EXO1,81.0,90.0
EXO5,47.0,47.0
EXOC1,105.0,92.0
EXOC1L,10.0,16.0
EXOC2,119.0,130.0
EXOC3,89.0,87.0
EXOC3-AS1,14.0,17.0
EXOC3L1,36.0,37.0
EXOC3L2,70.0,60.0
EXOC3L4,66.0,72.0
EXOC4,122.0,125.0
EXOC5,96.0,111.0
EXOC6,112.0,106.0
EXOC6B,114.0,120.0
EXOC7,103.0,108.0
EXOC8,71.0,86.0
EXOG,35.0,40.0
EXOSC1,6.0,7.0
EXOSC10,96.0,103.0
EXOSC2,30.0,28.0
EXOSC3,18.0,20.0
EXOSC4,17.0,16.0
EXOSC5,13.0,13.0
EXOSC6,13.0,14.0
EXOSC7,27.0,22.0
EXOSC8,16.0,29.0
EXOSC9,46.0,43.0
EXPH5,243.0,249.0
EXT1,79.0,80.0
EXT2,77.0,77.0
EXTL1,54.0,60.0
EXTL2,28.0,26.0
EXTL3,108.0,115.0
EYA1,25.0,26.0
EYA2,33.0,36.0
EYA3,25.0,27.0
EYA4,33.0,35.0
EYS,204.0,221.0
EZH1,67.0,59.0
EZH2,102.0,105.0
EZHIP,23.0,25.0
EZR,69.0,70.0
F10,53.0,49.0
F11,65.0,65.0
F11R,25.0,30.0
F12,71.0,64.0
F13A1,75.0,70.0
F13B,68.0,71.0
F2,69.0,68.0
F231L,10.0,15.0
F2R,23.0,23.0
F2RL1,9.0,9.0
F2RL2,7.0,6.0
F2RL3,11.0,8.0
F3,31.0,35.0
F5,199.0,209.0
F7,44.0,49.0
F8,319.0,343.0
F8A1,19.0,25.0
F9,60.0,59.0
FA2H,58.0,52.0
FAAH,37.0,45.0
FAAH2,70.0,68.0
FAAP100,51.0,45.0
FAAP20,8.0,12.0
FAAP24,32.0,26.0
FABP1,19.0,20.0
FABP12,18.0,25.0
FABP2,11.0,12.0
FABP3,39.0,38.0
FABP4,13.0,12.0
FABP5,26.0,26.0
FABP5P3,29.0,26.0
FABP6,17.0,16.0
FABP7,16.0,15.0
FABP9,36.0,35.0
FADD,8.0,7.0
FADS1,32.0,41.0
FADS2,32.0,30.0
FADS2B,52.0,38.0
FADS3,30.0,31.0
FADS6,18.0,20.0
FAF1,58.0,56.0
FAF2,61.0,58.0
FAH,39.0,43.0
FAHD1,33.0,32.0
FAHD2A,14.0,12.0
FAHD2B,27.0,28.0
FAIM,19.0,19.0
FAIM2,9.0,16.0
FAM106A,2.0,3.0
FAM106C,7.0,7.0
FAM107A,20.0,15.0
FAM107B,21.0,22.0
FAM110A,27.0,28.0
FAM110B,48.0,57.0
FAM110C,18.0,21.0
FAM110D,32.0,30.0
FAM111A,68.0,65.0
FAM111B,108.0,126.0
FAM114A1,43.0,43.0
FAM114A2,60.0,62.0
FAM117A,57.0,51.0
FAM117B,76.0,82.0
FAM118A,20.0,23.0
FAM118B,29.0,27.0
FAM120A,130.0,148.0
FAM120A2P,14.0,13.0
FAM120AOS,17.0,21.0
FAM120B,83.0,88.0
FAM120C,92.0,102.0
FAM124A,24.0,27.0
FAM124B,57.0,62.0
FAM131A,13.0,15.0
FAM131B,27.0,30.0
FAM131C,16.0,17.0
FAM133A,17.0,21.0
FAM133B,7.0,6.0
FAM135A,135.0,144.0
FAM135B,149.0,144.0
FAM136A,14.0,22.0
FAM13A,112.0,112.0
FAM13B,89.0,84.0
FAM13C,53.0,50.0
FAM149A,85.0,87.0
FAM149B1,52.0,62.0
FAM151A,39.0,40.0
FAM151B,28.0,36.0
FAM153B,7.0,7.0
FAM156A,3.0,6.0
FAM157A,73.0,79.0
FAM157B,10.0,11.0
FAM157C,10.0,9.0
FAM161A,69.0,64.0
FAM161B,79.0,91.0
FAM162A,12.0,13.0
FAM162B,11.0,10.0
FAM163A,16.0,13.0
FAM163B,4.0,4.0
FAM167A,26.0,31.0
FAM167A-AS1,6.0,5.0
FAM167B,6.0,6.0
FAM168A,4.0,4.0
FAM169A,51.0,57.0
FAM169BP,20.0,21.0
FAM170A,60.0,63.0
FAM170B,11.0,12.0
FAM171A1,111.0,115.0
FAM171A2,55.0,62.0
FAM171B,73.0,89.0
FAM174A,8.0,8.0
FAM174B,10.0,16.0
FAM174C,1.0,4.0
FAM177A1,27.0,25.0
FAM177B,21.0,21.0
FAM178B,52.0,52.0
FAM180A,23.0,28.0
FAM180B,4.0,4.0
FAM181A,35.0,27.0
FAM181B,18.0,22.0
FAM184A,211.0,216.0
FAM184B,158.0,164.0
FAM185A,63.0,53.0
FAM186A,205.0,228.0
FAM186B,151.0,157.0
FAM187A,36.0,39.0
FAM187B,30.0,34.0
FAM193A,121.0,117.0
FAM193B,58.0,54.0
FAM199X,12.0,14.0
FAM200A,58.0,53.0
FAM200B,65.0,64.0
FAM200C,57.0,51.0
FAM201A,23.0,24.0
FAM204A,36.0,36.0
FAM209A,16.0,14.0
FAM209B,16.0,15.0
FAM20A,53.0,53.0
FAM20B,26.0,33.0
FAM20C,37.0,46.0
FAM210A,35.0,40.0
FAM210B,13.0,14.0
FAM215A,8.0,6.0
FAM216A,36.0,37.0
FAM216B,30.0,30.0
FAM217A,42.0,42.0
FAM217B,55.0,51.0
FAM218A,26.0,28.0
FAM219A,15.0,22.0
FAM219B,11.0,10.0
FAM220A,15.0,22.0
FAM220BP,11.0,7.0
FAM221A,33.0,41.0
FAM221B,56.0,50.0
FAM222A,39.0,39.0
FAM222B,23.0,24.0
FAM223A,17.0,15.0
FAM223B,5.0,5.0
FAM227A,69.0,66.0
FAM227B,57.0,55.0
FAM228A,24.0,30.0
FAM228B,57.0,64.0
FAM229A,15.0,18.0
FAM229B,13.0,6.0
FAM234A,42.0,55.0
FAM234B,54.0,51.0
FAM236D,2.0,2.0
FAM237A,12.0,13.0
FAM237B,22.0,29.0
FAM240A,8.0,6.0
FAM240B,5.0,4.0
FAM240C,18.0,15.0
FAM241A,33.0,30.0
FAM241B,11.0,12.0
FAM246A,6.0,7.0
FAM246B,36.0,34.0
FAM246C,14.0,14.0
FAM24A,11.0,10.0
FAM24B,4.0,3.0
FAM25A,8.0,7.0
FAM27B,10.0,10.0
FAM27D1,10.0,11.0
FAM27E3,3.0,4.0
FAM30A,21.0,23.0
FAM32A,19.0,17.0
FAM3A,26.0,28.0
FAM3B,24.0,17.0
FAM3C,10.0,11.0
FAM3D,12.0,13.0
FAM43A,22.0,28.0
FAM43B,39.0,37.0
FAM47A,105.0,98.0
FAM47B,47.0,48.0
FAM47C,129.0,146.0
FAM47DP,41.0,47.0
FAM47E,59.0,58.0
FAM50A,44.0,45.0
FAM50B,45.0,45.0
FAM53A,37.0,46.0
FAM53B,54.0,48.0
FAM53C,38.0,45.0
FAM66E,5.0,5.0
FAM72A,11.0,7.0
FAM72C,4.0,4.0
FAM72D,1.0,
FAM76A,51.0,50.0
FAM76B,44.0,46.0
FAM78A,24.0,24.0
FAM78B,20.0,16.0
FAM81A,51.0,56.0
FAM81B,77.0,84.0
FAM83A,44.0,45.0
FAM83B,125.0,126.0
FAM83C,63.0,62.0
FAM83D,67.0,61.0
FAM83E,30.0,33.0
FAM83F,27.0,30.0
FAM83G,94.0,91.0
FAM83H,141.0,150.0
FAM86B1,5.0,4.0
FAM86B2,19.0,23.0
FAM86C1P,17.0,15.0
FAM86C2P,9.0,9.0
FAM86JP,1.0,1.0
FAM87A,42.0,33.0
FAM89A,14.0,15.0
FAM89B,15.0,9.0
FAM8A1,30.0,27.0
FAM90A1,62.0,69.0
FAM90A10,10.0,12.0
FAM90A11,57.0,56.0
FAM90A12,13.0,15.0
FAM90A14,3.0,4.0
FAM90A18,2.0,2.0
FAM90A20,18.0,20.0
FAM90A22,34.0,38.0
FAM90A24,1.0,3.0
FAM90A26,28.0,33.0
FAM90A27P,28.0,36.0
FAM90A2P,27.0,24.0
FAM90A3,2.0,
FAM90A7,16.0,16.0
FAM90A8,8.0,7.0
FAM90A9,7.0,10.0
FAM91A1,73.0,82.0
FAM98A,28.0,23.0
FAM98B,37.0,40.0
FAM98C,43.0,43.0
FAM9A,30.0,32.0
FAM9B,15.0,18.0
FAM9C,28.0,25.0
FAN1,114.0,117.0
FANCA,125.0,139.0
FANCB,103.0,110.0
FANCC,34.0,41.0
FANCD2,146.0,152.0
FANCD2OS,29.0,30.0
FANCE,64.0,60.0
FANCF,39.0,35.0
FANCG,65.0,67.0
FANCI,189.0,185.0
FANCL,55.0,54.0
FANCM,171.0,176.0
FANK1,44.0,49.0
FAP,95.0,101.0
FAR1,55.0,69.0
FAR2,53.0,58.0
FARP1,122.0,108.0
FARP2,104.0,101.0
FARS2,66.0,77.0
FARSA,55.0,59.0
FARSB,56.0,45.0
FAS,39.0,40.0
FASLG,11.0,11.0
FASN,215.0,233.0
FASTK,35.0,32.0
FASTKD1,63.0,69.0
FASTKD2,118.0,119.0
FASTKD3,79.0,84.0
FASTKD5,88.0,101.0
FAT1,317.0,343.0
FAT2,318.0,338.0
FAT3,308.0,322.0
FAT4,283.0,299.0
FATE1,21.0,16.0
FAU,2.0,1.0
FAXC,30.0,33.0
FAXDC2,1.0,2.0
FBF1,146.0,159.0
FBH1,148.0,131.0
FBL,25.0,30.0
FBLIM1,41.0,46.0
FBLL1,41.0,46.0
FBLN1,36.0,34.0
FBLN2,78.0,86.0
FBLN5,19.0,17.0
FBLN7,50.0,54.0
FBN1,211.0,232.0
FBN2,212.0,214.0
FBN3,196.0,184.0
FBP1,22.0,26.0
FBP2,24.0,24.0
FBRS,29.0,33.0
FBRSL1,93.0,85.0
FBXL12,18.0,17.0
FBXL13,104.0,96.0
FBXL14,50.0,48.0
FBXL15,45.0,48.0
FBXL16,26.0,36.0
FBXL17,74.0,80.0
FBXL18,67.0,74.0
FBXL19,85.0,83.0
FBXL19-AS1,4.0,7.0
FBXL2,59.0,62.0
FBXL20,39.0,36.0
FBXL21P,34.0,38.0
FBXL22,41.0,39.0
FBXL3,51.0,43.0
FBXL4,28.0,24.0
FBXL5,66.0,61.0
FBXL6,48.0,55.0
FBXL7,45.0,44.0
FBXL8,49.0,48.0
FBXO10,110.0,99.0
FBXO11,44.0,54.0
FBXO15,53.0,43.0
FBXO16,52.0,49.0
FBXO17,29.0,28.0
FBXO2,22.0,26.0
FBXO21,40.0,40.0
FBXO22,32.0,31.0
FBXO24,72.0,78.0
FBXO25,59.0,67.0
FBXO27,36.0,34.0
FBXO28,30.0,39.0
FBXO3,49.0,53.0
FBXO30,61.0,67.0
FBXO31,59.0,66.0
FBXO32,55.0,53.0
FBXO33,26.0,28.0
FBXO34,59.0,75.0
FBXO36,17.0,17.0
FBXO38,96.0,99.0
FBXO39,44.0,49.0
FBXO4,41.0,39.0
FBXO40,121.0,115.0
FBXO41,103.0,106.0
FBXO42,68.0,69.0
FBXO43,81.0,81.0
FBXO44,16.0,18.0
FBXO45,34.0,35.0
FBXO46,67.0,63.0
FBXO47,74.0,72.0
FBXO48,14.0,11.0
FBXO5,49.0,44.0
FBXO6,26.0,32.0
FBXO7,26.0,28.0
FBXO8,20.0,26.0
FBXO9,47.0,53.0
FBXW10,151.0,145.0
FBXW10B,6.0,4.0
FBXW11,73.0,72.0
FBXW12,43.0,42.0
FBXW2,37.0,52.0
FBXW4,31.0,37.0
FBXW5,43.0,53.0
FBXW7,73.0,68.0
FBXW7-AS1,3.0,4.0
FBXW8,38.0,40.0
FBXW9,56.0,57.0
FCAMR,39.0,44.0
FCAR,23.0,29.0
FCER1A,6.0,3.0
FCER1G,7.0,8.0
FCER2,27.0,27.0
FCF1,20.0,22.0
FCGBP,166.0,186.0
FCGR1A,49.0,54.0
FCGR1BP,10.0,14.0
FCGR2A,15.0,12.0
FCGR2B,7.0,5.0
FCGR2C,2.0,
FCGR3A,7.0,7.0
FCGR3B,10.0,11.0
FCGRT,15.0,15.0
FCHO1,66.0,59.0
FCHO2,57.0,66.0
FCHSD1,55.0,58.0
FCHSD2,77.0,82.0
FCMR,33.0,29.0
FCN1,37.0,39.0
FCN2,11.0,15.0
FCN3,53.0,51.0
FCRL1,15.0,15.0
FCRL2,50.0,52.0
FCRL3,70.0,68.0
FCRL4,39.0,49.0
FCRL5,57.0,74.0
FCRL6,22.0,27.0
FCRLA,10.0,13.0
FCRLB,32.0,35.0
FCSK,61.0,56.0
FDCSP,5.0,6.0
FDFT1,62.0,58.0
FDPS,29.0,32.0
FDX1,25.0,20.0
FDX2,17.0,20.0
FDXACB1,67.0,70.0
FDXR,64.0,64.0
FECH,66.0,63.0
FEM1A,60.0,60.0
FEM1B,85.0,97.0
FEM1C,66.0,62.0
FEN1,27.0,29.0
FER,85.0,96.0
FER1L5,250.0,249.0
FER1L6,206.0,216.0
FER1L6-AS1,24.0,25.0
FER1L6-AS2,20.0,25.0
FERD3L,6.0,10.0
FERMT1,63.0,72.0
FERMT2,78.0,71.0
FERMT3,94.0,81.0
FERRY3,65.0,68.0
FES,63.0,70.0
FETUB,28.0,31.0
FEV,18.0,16.0
FEZ1,34.0,36.0
FEZ2,25.0,28.0
FEZF1,67.0,76.0
FEZF2,39.0,43.0
FFAR1,6.0,3.0
FFAR2,8.0,9.0
FFAR3,8.0,10.0
FFAR4,23.0,23.0
FGA,63.0,75.0
FGB,55.0,52.0
FGD1,96.0,106.0
FGD2,70.0,74.0
FGD3,87.0,76.0
FGD4,130.0,139.0
FGD5,133.0,119.0
FGD6,172.0,183.0
FGF1,19.0,26.0
FGF10,12.0,14.0
FGF11,12.0,19.0
FGF12,22.0,24.0
FGF13,24.0,22.0
FGF14,28.0,31.0
FGF16,19.0,12.0
FGF17,13.0,18.0
FGF18,15.0,18.0
FGF19,25.0,36.0
FGF2,29.0,23.0
FGF20,19.0,16.0
FGF21,7.0,8.0
FGF22,29.0,35.0
FGF23,29.0,27.0
FGF3,24.0,28.0
FGF4,33.0,36.0
FGF5,21.0,19.0
FGF6,22.0,25.0
FGF7,25.0,31.0
FGF8,13.0,20.0
FGF9,15.0,14.0
FGFBP1,7.0,7.0
FGFBP2,27.0,24.0
FGFBP3,9.0,13.0
FGFR1,64.0,60.0
FGFR1OP2,44.0,40.0
FGFR2,81.0,79.0
FGFR3,61.0,55.0
FGFR4,66.0,65.0
FGFRL1,39.0,37.0
FGG,62.0,69.0
FGGY,49.0,54.0
FGL1,44.0,44.0
FGL2,47.0,52.0
FGR,46.0,46.0
FH,38.0,43.0
FHAD1,206.0,208.0
FHDC1,84.0,92.0
FHIP1A,59.0,54.0
FHIP1B,66.0,76.0
FHIP2A,82.0,87.0
FHIP2B,55.0,62.0
FHIT,20.0,23.0
FHL1,49.0,53.0
FHL2,48.0,56.0
FHL3,26.0,28.0
FHL5,33.0,35.0
FHOD1,105.0,96.0
FHOD3,117.0,106.0
FIBCD1,39.0,48.0
FIBIN,30.0,31.0
FIBP,46.0,49.0
FICD,53.0,52.0
FIG4,111.0,116.0
FIGLA,17.0,22.0
FIGN,43.0,62.0
FIGNL1,83.0,78.0
FIGNL2,34.0,44.0
FILIP1,208.0,203.0
FILIP1L,159.0,153.0
FIMP,25.0,30.0
FIP1L1,41.0,43.0
FIRRM,56.0,60.0
FIS1,13.0,13.0
FITM1,8.0,7.0
FITM2,9.0,11.0
FIZ1,44.0,39.0
FJX1,41.0,36.0
FKBP10,61.0,62.0
FKBP11,12.0,17.0
FKBP14,26.0,23.0
FKBP15,102.0,107.0
FKBP1A,14.0,17.0
FKBP1B,7.0,13.0
FKBP1C,17.0,14.0
FKBP2,10.0,11.0
FKBP3,47.0,46.0
FKBP4,92.0,102.0
FKBP5,82.0,83.0
FKBP6,44.0,41.0
FKBP7,51.0,54.0
FKBP8,32.0,27.0
FKBP9,58.0,52.0
FKBP9P1,5.0,5.0
FKBPL,44.0,45.0
FKRP,54.0,58.0
FKTN,51.0,56.0
FLACC1,53.0,49.0
FLAD1,52.0,60.0
FLCN,52.0,50.0
FLG,242.0,249.0
FLG2,119.0,121.0
FLI1,44.0,51.0
FLII,129.0,139.0
FLNA,220.0,250.0
FLNB,273.0,273.0
FLNC,251.0,241.0
FLOT1,70.0,71.0
FLOT2,57.0,50.0
FLRT1,83.0,74.0
FLRT2,68.0,67.0
FLRT3,78.0,91.0
FLT1,160.0,157.0
FLT3,61.0,61.0
FLT3LG,10.0,8.0
FLT4,117.0,126.0
FLVCR1,34.0,38.0
FLVCR2,12.0,11.0
FLYWCH1,77.0,83.0
FLYWCH2,13.0,14.0
FMC1,15.0,15.0
FMN1,182.0,189.0
FMN2,89.0,88.0
FMNL1,122.0,138.0
FMNL2,106.0,114.0
FMNL3,133.0,118.0
FMO1,46.0,50.0
FMO2,66.0,81.0
FMO3,55.0,54.0
FMO4,56.0,59.0
FMO5,61.0,63.0
FMO6P,52.0,52.0
FMOD,18.0,22.0
FMR1,62.0,75.0
FMR1NB,15.0,17.0
FN1,143.0,160.0
FN3K,41.0,43.0
FN3KRP,32.0,32.0
FNBP1,71.0,74.0
FNBP1L,72.0,81.0
FNBP4,63.0,57.0
FNDC1,168.0,163.0
FNDC10,12.0,12.0
FNDC11,26.0,31.0
FNDC3A,93.0,112.0
FNDC3B,86.0,87.0
FNDC4,10.0,12.0
FNDC5,10.0,18.0
FNDC7,42.0,43.0
FNDC8,20.0,23.0
FNDC9,14.0,17.0
FNIP1,94.0,106.0
FNIP2,112.0,118.0
FNTA,39.0,38.0
FNTB,33.0,30.0
FOCAD,166.0,193.0
FOLH1,73.0,68.0
FOLH1B,18.0,17.0
FOLR1,29.0,27.0
FOLR2,28.0,32.0
FOLR3,15.0,19.0
FOS,20.0,22.0
FOSB,13.0,14.0
FOSL1,12.0,12.0
FOSL2,24.0,30.0
FOXA1,32.0,36.0
FOXA2,14.0,16.0
FOXA3,7.0,6.0
FOXB1,23.0,25.0
FOXB2,12.0,18.0
FOXC1,13.0,16.0
FOXC2,31.0,29.0
FOXD1,4.0,5.0
FOXD2,19.0,19.0
FOXD3,10.0,11.0
FOXD4,28.0,26.0
FOXD4L1,19.0,25.0
FOXD4L3,1.0,
FOXD4L4,12.0,11.0
FOXD4L5,2.0,2.0
FOXD4L6,35.0,34.0
FOXE1,28.0,28.0
FOXE3,24.0,28.0
FOXF1,12.0,13.0
FOXF2,15.0,14.0
FOXG1,31.0,32.0
FOXH1,22.0,18.0
FOXI1,18.0,15.0
FOXI2,7.0,7.0
FOXI3,26.0,28.0
FOXJ1,25.0,21.0
FOXJ2,37.0,32.0
FOXJ3,22.0,28.0
FOXK1,60.0,62.0
FOXK2,40.0,40.0
FOXL1,40.0,38.0
FOXL2,26.0,27.0
FOXL2NB,15.0,14.0
FOXL3,25.0,31.0
FOXM1,81.0,90.0
FOXN1,36.0,35.0
FOXN2,51.0,44.0
FOXN3,38.0,31.0
FOXN4,28.0,29.0
FOXO1,28.0,19.0
FOXO3,31.0,28.0
FOXO3B,18.0,18.0
FOXO4,30.0,34.0
FOXO6,10.0,13.0
FOXP1,63.0,61.0
FOXP2,27.0,31.0
FOXP3,46.0,56.0
FOXP4,50.0,60.0
FOXQ1,19.0,23.0
FOXR1,18.0,18.0
FOXR2,23.0,22.0
FOXRED1,22.0,21.0
FOXRED2,61.0,65.0
FOXS1,14.0,16.0
FP248,11.0,10.0
FPGS,55.0,58.0
FPGT,65.0,60.0
FPR1,13.0,15.0
FPR2,5.0,5.0
FPR3,12.0,11.0
FRA10AC1,45.0,56.0
FRAS1,277.0,298.0
FRAT1,18.0,12.0
FRAT2,17.0,16.0
FREM1,213.0,216.0
FREM2,235.0,249.0
FREM3,147.0,153.0
FREY1,6.0,7.0
FRG1,24.0,25.0
FRG2,19.0,19.0
FRG2B,6.0,4.0
FRG2C,16.0,16.0
FRK,40.0,47.0
FRMD1,65.0,61.0
FRMD3,75.0,68.0
FRMD4A,123.0,113.0
FRMD4B,111.0,114.0
FRMD5,78.0,78.0
FRMD6,91.0,97.0
FRMD6-AS1,64.0,64.0
FRMD7,82.0,92.0
FRMD8,48.0,55.0
FRMD8P1,31.0,36.0
FRMPD1,149.0,141.0
FRMPD2,134.0,136.0
FRMPD2B,4.0,3.0
FRMPD3,231.0,236.0
FRMPD4,150.0,164.0
FRRS1,50.0,50.0
FRRS1L,20.0,27.0
FRS2,45.0,51.0
FRS3,41.0,45.0
FRY,269.0,288.0
FRYL,278.0,289.0
FRZB,27.0,32.0
FSAF1,40.0,38.0
FSBP,28.0,29.0
FSCB,38.0,35.0
FSCN1,50.0,52.0
FSCN2,67.0,73.0
FSCN3,48.0,43.0
FSD1,40.0,50.0
FSD1L,33.0,34.0
FSD2,66.0,70.0
FSHB,16.0,16.0
FSHR,50.0,63.0
FSIP1,49.0,51.0
FSIP2,778.0,810.0
FST,25.0,25.0
FSTL1,23.0,27.0
FSTL3,15.0,16.0
FSTL4,89.0,96.0
FSTL5,106.0,93.0
FTCD,40.0,37.0
FTCDNL1,16.0,18.0
FTH1,26.0,22.0
FTH1P19,14.0,12.0
FTHL17,6.0,11.0
FTL,25.0,21.0
FTMT,23.0,32.0
FTO,54.0,46.0
FTSJ1,4.0,8.0
FTSJ3,62.0,56.0
FUBP1,65.0,73.0
FUBP3,54.0,60.0
FUCA1,46.0,52.0
FUCA2,34.0,35.0
FUNDC1,4.0,6.0
FUNDC2,18.0,22.0
FUOM,5.0,7.0
FURIN,69.0,68.0
FUS,33.0,26.0
FUT1,49.0,50.0
FUT2,22.0,27.0
FUT3,39.0,42.0
FUT4,48.0,57.0
FUT5,10.0,10.0
FUT6,32.0,28.0
FUT7,47.0,45.0
FUT8,61.0,64.0
FUT9,41.0,38.0
FUZ,15.0,21.0
FXN,24.0,28.0
FXR1,78.0,69.0
FXR2,68.0,70.0
FXYD1,3.0,8.0
FXYD2,8.0,10.0
FXYD3,6.0,5.0
FXYD4,10.0,6.0
FXYD5,8.0,5.0
FXYD6,4.0,4.0
FXYD6P3,8.0,9.0
FXYD7,7.0,5.0
FYB1,91.0,92.0
FYB2,85.0,94.0
FYCO1,219.0,237.0
FYN,50.0,62.0
FYTTD1,35.0,38.0
FZD1,26.0,25.0
FZD10,33.0,33.0
FZD2,20.0,23.0
FZD3,47.0,54.0
FZD4,15.0,13.0
FZD5,25.0,22.0
FZD6,57.0,53.0
FZD7,32.0,38.0
FZD8,26.0,33.0
FZD9,27.0,28.0
FZR1,48.0,50.0
G0S2,5.0,8.0
G2E3,88.0,91.0
G3BP1,42.0,42.0
G3BP2,35.0,42.0
G6PC1,15.0,17.0
G6PC2,9.0,17.0
G6PC3,8.0,8.0
G6PD,91.0,83.0
GAA,69.0,64.0
GAB1,77.0,71.0
GAB2,73.0,59.0
GAB3,66.0,58.0
GAB4,28.0,27.0
GABARAP,3.0,4.0
GABARAPL2,14.0,14.0
GABARAPL3,2.0,3.0
GABBR1,89.0,96.0
GABBR2,93.0,103.0
GABPA,52.0,52.0
GABPB1,24.0,19.0
GABPB2,16.0,24.0
GABRA1,26.0,24.0
GABRA2,19.0,18.0
GABRA3,50.0,50.0
GABRA4,80.0,80.0
GABRA5,20.0,24.0
GABRA6,40.0,42.0
GABRB1,48.0,42.0
GABRB2,30.0,24.0
GABRB3,24.0,27.0
GABRD,48.0,49.0
GABRE,46.0,46.0
GABRG1,27.0,33.0
